# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.500000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	7.920668e+00	3.960246e+00	3.960422e+00	-2.644482e-02	2.270346e+00	-2.296791e+00	2.283569e+00	-8.825618e-05	-2.951817e-05	2.610007e-04	1.009822e-04	1.600185e-04
2             	2.754550e+00	1.371092e+00	1.383458e+00	-4.666165e-02	8.265780e-01	-8.732396e-01	8.499088e-01	-6.182861e-03	1.302345e-02	1.674939e-02	2.139815e-02	-4.648757e-03
3             	-6.454038e+01	-3.067321e+01	-3.386717e+01	-9.272717e-01	-1.749322e+01	1.656594e+01	-1.702958e+01	1.596982e+00	-7.802021e+00	-4.157584e+00	-9.880813e+00	5.723229e+00
4             	1.109269e+04	5.587072e+03	5.505619e+03	-7.912629e+01	4.340711e+03	-4.419838e+03	4.380275e+03	4.072661e+01	-9.573379e+02	-1.224332e+02	-1.018555e+03	8.961213e+02
5             	5.356788e+04	2.675699e+04	2.681088e+04	-3.015148e+02	1.949914e+04	-1.980066e+04	1.964990e+04	-2.694492e+01	-3.714400e+03	8.595787e+01	-3.671422e+03	3.757379e+03
6             	2.582083e+04	1.277148e+04	1.304936e+04	-4.298615e+02	9.609004e+03	-1.003887e+04	9.823935e+03	-1.389413e+02	-1.513470e+03	3.509557e+02	-1.337992e+03	1.688948e+03
7             	-2.238382e+04	-1.142057e+04	-1.096326e+04	-2.090795e+02	-7.658224e+03	7.449144e+03	-7.553684e+03	-2.286558e+02	1.787998e+03	5.980709e+02	2.087033e+03	-1.488963e+03
8             	-3.609427e+04	-1.824970e+04	-1.784457e+04	1.282712e+02	-1.279269e+04	1.292096e+04	-1.285682e+04	-2.025652e+02	2.616142e+03	6.017653e+02	2.917025e+03	-2.315260e+03
9             	-9.778759e+03	-4.991876e+03	-4.786883e+03	3.500518e+02	-3.610716e+03	3.960767e+03	-3.785742e+03	-1.024963e+02	7.380353e+02	4.009475e+02	9.385091e+02	-5.375616e+02
10            	1.496419e+04	7.427737e+03	7.536452e+03	3.863219e+02	5.226224e+03	-4.839902e+03	5.033063e+03	-5.435715e+01	-8.406229e+02	2.914091e+02	-6.949183e+02	9.863274e+02
11            	1.475659e+04	7.290327e+03	7.466266e+03	3.064488e+02	5.397273e+03	-5.090824e+03	5.244049e+03	-8.796951e+01	-8.411484e+02	3.640865e+02	-6.591051e+02	1.023192e+03
12            	5.372026e+02	1.106158e+02	4.265868e+02	1.925065e+02	5.711196e+02	-3.786131e+02	4.748664e+02	-1.579855e+02	2.999705e+00	5.136587e+02	2.598290e+02	2.538296e+02
13            	-9.508176e+03	-4.919648e+03	-4.588528e+03	1.087836e+02	-3.029188e+03	3.137972e+03	-3.083580e+03	-1.655602e+02	6.232210e+02	4.880341e+02	8.672381e+02	-3.792040e+02
14            	-8.702560e+03	-4.426486e+03	-4.276074e+03	-5.258138e+01	-3.012478e+03	2.959897e+03	-2.986188e+03	-7.520622e+01	5.905843e+02	2.258550e+02	7.035118e+02	-4.776568e+02
15            	-1.684345e+03	-8.137210e+02	-8.706238e+02	-1.343644e+02	-7.058372e+02	5.714728e+02	-6.386550e+02	2.845140e+01	1.847662e+02	-7.709051e+01	1.462209e+02	-2.233114e+02
16            	2.854804e+03	1.504605e+03	1.350198e+03	-9.436058e+01	9.334418e+02	-1.027802e+03	9.806221e+02	7.720344e+01	-1.285836e+02	-2.481355e+02	-2.526513e+02	4.515845e+00
17            	2.660773e+03	1.392656e+03	1.268118e+03	-1.300195e+01	9.676666e+02	-9.806685e+02	9.741675e+02	6.226892e+01	-2.022052e+02	-2.331031e+02	-3.187568e+02	8.565365e+01
18            	2.385574e+02	1.294500e+02	1.091074e+02	6.216783e+01	1.789436e+02	-1.167758e+02	1.478597e+02	1.017132e+01	-1.197126e+02	-8.759743e+01	-1.635113e+02	7.591389e+01
19            	-1.572614e+03	-8.233994e+02	-7.492147e+02	1.168207e+02	-4.551367e+02	5.719574e+02	-5.135470e+02	-3.709236e+01	-4.420695e+00	6.922127e+01	3.018994e+01	3.903133e+01
20            	-1.713976e+03	-8.955828e+02	-8.183937e+02	1.302536e+02	-5.429408e+02	6.731945e+02	-6.080677e+02	-3.859459e+01	5.750779e+01	1.081923e+02	1.116039e+02	-3.411636e+00
21            	-7.237966e+02	-3.761471e+02	-3.476495e+02	1.225474e+02	-2.277732e+02	3.503206e+02	-2.890469e+02	-1.424883e+01	4.255034e+01	7.086339e+01	7.798204e+01	-7.118647e+00
22            	2.389957e+02	1.341996e+02	1.047961e+02	9.869782e+01	1.020613e+02	-3.363513e+00	5.271243e+01	1.470175e+01	-2.288024e+01	3.345699e+00	-2.120739e+01	2.455308e+01
23            	4.455188e+02	2.523043e+02	1.932146e+02	7.225198e+01	1.777803e+02	-1.055283e+02	1.416543e+02	2.954484e+01	-7.383020e+01	-4.421986e+01	-9.594013e+01	5.172028e+01
24            	9.844555e+01	7.588838e+01	2.255718e+01	3.875675e+01	5.862226e+01	-1.986551e+01	3.924389e+01	2.666560e+01	-7.365776e+01	-5.098790e+01	-9.915171e+01	4.816381e+01
25            	-2.888039e+02	-1.334944e+02	-1.553095e+02	-5.017893e+00	-8.051476e+01	7.549687e+01	-7.800581e+01	1.090757e+01	-2.360215e+01	-1.935755e+01	-3.328092e+01	1.392337e+01
26            	-3.790668e+02	-1.943860e+02	-1.846808e+02	-4.165739e+01	-1.191700e+02	7.751257e+01	-9.834127e+01	-4.852569e+00	2.829451e+01	2.006597e+01	3.832749e+01	-1.826152e+01
27            	-2.191062e+02	-1.217965e+02	-9.730971e+01	-5.867541e+01	-7.093190e+01	1.225648e+01	-4.159419e+01	-1.224337e+01	4.753592e+01	4.397430e+01	6.952306e+01	-2.554877e+01
28            	-2.695230e+01	-2.735788e+01	4.055758e-01	-5.658922e+01	-8.911594e+00	-4.767763e+01	1.938302e+01	-1.388173e+01	3.487412e+01	5.713779e+01	6.344302e+01	-6.305230e+00
29            	3.230350e+01	3.118921e+00	2.918458e+01	-4.299647e+01	1.072278e+01	-5.371925e+01	3.222101e+01	-1.303283e+01	1.303841e+01	6.274268e+01	4.440974e+01	1.833293e+01
30            	-2.553932e+01	-2.404182e+01	-1.497506e+00	-2.823300e+01	-8.334686e+00	-1.989831e+01	5.781811e+00	-1.127215e+01	4.367798e-01	6.009624e+01	3.048490e+01	2.961134e+01
31            	-9.312509e+01	-5.617726e+01	-3.694782e+01	-1.834737e+01	-3.055550e+01	1.220813e+01	-2.138182e+01	-9.614719e+00	7.411594e-01	5.185970e+01	2.667101e+01	2.518869e+01
32            	-1.031564e+02	-5.925606e+01	-4.390032e+01	-1.349863e+01	-3.292337e+01	1.942474e+01	-2.617405e+01	-7.677867e+00	7.361042e+00	4.009622e+01	2.740915e+01	1.268707e+01
33            	-5.648624e+01	-3.346408e+01	-2.302216e+01	-9.939173e+00	-1.620275e+01	6.263573e+00	-1.123316e+01	-5.220960e+00	1.102848e+01	2.807769e+01	2.506733e+01	3.010363e+00
34            	-5.661625e+00	-5.615497e+00	-4.612841e-02	-6.217067e+00	7.901863e-01	-7.007254e+00	3.898720e+00	-2.784684e+00	8.867175e+00	2.013146e+01	1.893291e+01	1.198555e+00
