# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.500000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.023912e+01	5.119622e+00	5.119496e+00	-3.528426e-02	2.969768e+00	-3.005052e+00	2.987410e+00	6.281565e-05	-4.193659e-04	-6.508704e-05	-4.519094e-04	3.868224e-04
2             	3.726304e+00	1.863196e+00	1.863107e+00	-6.184022e-02	1.086189e+00	-1.148029e+00	1.117109e+00	4.468783e-05	3.531908e-03	-7.921543e-04	3.135830e-03	-3.927985e-03
3             	-1.480264e+02	-7.376058e+01	-7.426586e+01	-2.481970e-01	-4.608185e+01	4.583365e+01	-4.595775e+01	2.526430e-01	3.623141e-02	-7.251002e-01	-3.263187e-01	-3.987815e-01
4             	2.076224e+02	1.068031e+02	1.008193e+02	2.151916e-01	7.816264e+01	-7.794745e+01	7.805505e+01	2.991857e+00	2.868669e+00	-7.832215e+00	-1.047439e+00	-6.784777e+00
5             	1.836485e+02	9.721268e+01	8.643583e+01	2.318735e+00	2.937790e+01	-2.705917e+01	2.821853e+01	5.388425e+00	-5.402521e+01	-1.425676e+01	-6.115358e+01	4.689683e+01
6             	1.366767e+02	7.368449e+01	6.299224e+01	2.248116e+00	1.609371e+01	-1.384559e+01	1.496965e+01	5.346125e+00	-5.616691e+01	-1.528970e+01	-6.381176e+01	4.852206e+01
7             	4.449107e+01	2.618361e+01	1.830747e+01	1.924708e+00	3.843410e+00	-1.918702e+00	2.881056e+00	3.938072e+00	-2.750884e+01	-1.236845e+01	-3.369306e+01	2.132462e+01
8             	-3.722971e+01	-2.081527e+01	-1.641444e+01	3.631250e+00	-1.253029e+00	4.884278e+00	-3.068654e+00	-2.200415e+00	9.356174e+00	4.979711e+01	3.425473e+01	1.554238e+01
9             	-1.241835e+02	-4.816403e+02	3.574568e+02	3.486576e+00	-3.517393e+01	3.866050e+01	-3.691722e+01	-4.195486e+02	-4.823298e+01	6.615156e+03	3.259345e+03	3.355811e+03
10            	-4.922562e+02	-6.492960e+02	1.570397e+02	1.735259e+00	-1.166767e+02	1.184120e+02	-1.175444e+02	-4.031678e+02	-1.413107e+02	7.414827e+03	3.566103e+03	3.848724e+03
