# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.940564e+03 6.394516e-02 -6.478982e+00 1.939545e+03 6.393737e-02 -6.477169e+00 1.018417e+00 7.794924e-06 -1.812360e-03
2              6.748646e+02 4.103601e+00 -1.143211e+01 6.829160e+02 4.097066e+00 -1.144061e+01 -8.051360e+00 6.534900e-03 8.504644e-03
3              -1.581239e+04 -1.018608e+03 -2.271816e+02 -1.580333e+04 -1.019719e+03 -2.279213e+02 -9.067258e+00 1.110564e+00 7.397081e-01
4              2.717709e+06 -2.999613e+04 -1.938594e+04 2.717711e+06 -2.999715e+04 -1.938529e+04 -1.768235e+00 1.018347e+00 -6.483607e-01
5              1.312413e+07 2.105968e+04 -7.387113e+04 1.312412e+07 2.105750e+04 -7.386991e+04 9.054361e+00 2.179336e+00 -1.222218e+00
6              6.326104e+06 8.598416e+04 -1.053161e+05 6.326107e+06 8.598380e+04 -1.053114e+05 -2.414921e+00 3.589694e-01 -4.692716e+00
7              -5.484036e+06 1.465274e+05 -5.122448e+04 -5.484018e+06 1.465303e+05 -5.121695e+04 -1.878615e+01 -2.937231e+00 -7.530943e+00
8              -8.843096e+06 1.474325e+05 3.142646e+04 -8.843067e+06 1.474383e+05 3.143418e+04 -2.903020e+01 -5.840084e+00 -7.726075e+00
9              -2.395796e+06 9.823214e+04 8.576269e+04 -2.395770e+06 9.823999e+04 8.577029e+04 -2.609970e+01 -7.854501e+00 -7.607308e+00
10             3.666226e+06 7.139524e+04 9.464886e+04 3.666239e+06 7.140394e+04 9.465568e+04 -1.264359e+01 -8.699428e+00 -6.816902e+00
11             3.615365e+06 8.920119e+04 7.507996e+04 3.615371e+06 8.920916e+04 7.508623e+04 -5.941648e+00 -7.962601e+00 -6.275120e+00
12             1.316146e+05 1.258464e+05 4.716410e+04 1.316246e+05 1.258543e+05 4.716956e+04 -9.958327e+00 -7.956273e+00 -5.455820e+00
13             -2.329503e+06 1.195683e+05 2.665197e+04 -2.329483e+06 1.195773e+05 2.665934e+04 -2.049757e+01 -8.902332e+00 -7.364184e+00
14             -2.132127e+06 5.533449e+04 -1.288244e+04 -2.132094e+06 5.534301e+04 -1.287467e+04 -3.283947e+01 -8.520288e+00 -7.766822e+00
15             -4.126645e+05 -1.888717e+04 -3.291928e+04 -4.126278e+05 -1.887908e+04 -3.291545e+04 -3.671550e+01 -8.097816e+00 -3.824333e+00
