# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.508584e+03 -1.594632e-02 -8.644643e+00 2.507276e+03 -1.594919e-02 -8.641180e+00 1.307808e+00 2.867398e-06 -3.462978e-03
2              9.129444e+02 -1.940778e-01 -1.515085e+01 9.219079e+02 -2.064823e-01 -1.515084e+01 -8.963554e+00 1.240447e-02 -1.033707e-05
3              -3.626648e+04 -1.776495e+02 -6.080827e+01 -3.625919e+04 -1.792238e+02 -6.085337e+01 -7.290199e+00 1.574245e+00 4.510314e-02
4              5.086749e+04 -1.918893e+03 5.272195e+01 5.087055e+04 -1.921436e+03 5.280753e+01 -3.056212e+00 2.542815e+00 -8.558307e-02
5              4.499388e+04 -3.492905e+03 5.680900e+02 4.498950e+04 -3.496744e+03 5.681714e+02 4.383078e+00 3.839270e+00 -8.143396e-02
6              3.348580e+04 -3.745976e+03 5.507884e+02 3.347816e+04 -3.750734e+03 5.510358e+02 7.635554e+00 4.758124e+00 -2.473516e-01
7              1.090031e+04 -3.030270e+03 4.715534e+02 1.089455e+04 -3.036248e+03 4.713507e+02 5.767499e+00 5.977897e+00 2.026642e-01
8              -9.121279e+03 1.220029e+04 8.896562e+02 -9.114727e+03 1.218867e+04 8.932670e+02 -6.552002e+00 1.162434e+01 -3.610850e+00
9              -3.042495e+04 1.620713e+06 8.542111e+02 -3.039770e+04 1.620691e+06 8.679117e+02 -2.724780e+01 2.197995e+01 -1.370063e+01
10             -1.206028e+05 1.816633e+06 4.251383e+02 -1.205646e+05 1.816617e+06 4.433011e+02 -3.816655e+01 1.503455e+01 -1.816272e+01
11             -3.059091e+05 5.869307e+05 -1.530397e+02 -3.058804e+05 5.869322e+05 -1.367592e+02 -2.868555e+01 -1.445073e+00 -1.628043e+01
