# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -3.243415e-02 8.392116e+02 -1.084793e-02 -3.242987e-02 8.387285e+02 -1.085781e-02 -4.281153e-06 4.830966e-01 9.881538e-06
2              -2.272201e+00 3.123415e+02 4.786118e+00 -2.269112e+00 3.160542e+02 4.786205e+00 -3.089783e-03 -3.712696e+00 -8.654951e-05
3              5.868909e+02 -6.258371e+03 -2.867243e+03 5.874518e+02 -6.254446e+03 -2.867863e+03 -5.608998e-01 -3.924929e+00 6.204826e-01
4              1.496703e+04 1.609751e+06 -3.518217e+05 1.496770e+04 1.609751e+06 -3.518217e+05 -6.711931e-01 2.098238e-01 -3.257915e-02
5              -9.902257e+03 7.221339e+06 -1.365042e+06 -9.900943e+03 7.221333e+06 -1.365042e+06 -1.313861e+00 5.937013e+00 -2.904657e-01
6              -5.106092e+04 3.610296e+06 -5.562002e+05 -5.106051e+04 3.610294e+06 -5.561999e+05 -4.126313e-01 2.130906e+00 -3.571437e-01
7              -8.403102e+04 -2.775979e+06 6.570893e+05 -8.403237e+04 -2.775974e+06 6.570904e+05 1.355127e+00 -4.518371e+00 -1.120103e+00
8              -7.444272e+04 -4.724882e+06 9.614323e+05 -7.444553e+04 -4.724873e+06 9.614338e+05 2.800377e+00 -8.932747e+00 -1.535865e+00
9              -3.766738e+04 -1.391260e+06 2.712280e+05 -3.767117e+04 -1.391254e+06 2.712307e+05 3.792313e+00 -6.133585e+00 -2.695452e+00
10             -1.997625e+04 1.849651e+06 -3.089289e+05 -1.998048e+04 1.849650e+06 -3.089253e+05 4.226817e+00 4.457113e-01 -3.588625e+00
11             -3.232879e+04 1.927188e+06 -3.091220e+05 -3.233278e+04 1.927186e+06 -3.091185e+05 3.990849e+00 1.785957e+00 -3.567014e+00
