# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.308475e-02 1.097873e+03 -1.541170e-01 2.308602e-02 1.097261e+03 -1.541216e-01 -1.267710e-06 6.117406e-01 4.633407e-06
2              1.642278e-02 4.105374e+02 1.297976e+00 2.201715e-02 4.145757e+02 1.294960e+00 -5.594378e-03 -4.038255e+00 3.016349e-03
3              9.284630e+01 -1.688947e+04 1.331504e+01 9.374613e+01 -1.688624e+04 1.245029e+01 -8.998233e-01 -3.237765e+00 8.647514e-01
4              1.099507e+03 2.868523e+04 1.054236e+03 1.100928e+03 2.868671e+04 1.052875e+03 -1.421136e+00 -1.477327e+00 1.360693e+00
5              1.980246e+03 1.037031e+04 -1.985426e+04 1.982449e+03 1.036849e+04 -1.985617e+04 -2.202941e+00 1.817511e+00 1.909353e+00
6              1.964701e+03 5.501346e+03 -2.064134e+04 1.967464e+03 5.497917e+03 -2.064324e+04 -2.762994e+00 3.428850e+00 1.898068e+00
7              1.447241e+03 1.058788e+03 -1.010950e+04 1.450780e+03 1.056460e+03 -1.011199e+04 -3.538403e+00 2.328123e+00 2.493959e+00
8              -8.086524e+02 -1.127730e+03 3.438394e+03 -8.044863e+02 -1.126806e+03 3.436050e+03 -4.166125e+00 -9.241730e-01 2.344028e+00
9              -1.541841e+05 -1.356708e+04 -1.772562e+04 -1.541795e+05 -1.356232e+04 -1.772707e+04 -4.584043e+00 -4.758249e+00 1.444154e+00
10             -1.481642e+05 -4.319756e+04 -5.193168e+04 -1.481608e+05 -4.319083e+04 -5.193288e+04 -3.404910e+00 -6.723421e+00 1.198899e+00
11             -3.748323e+04 -6.843933e+04 -3.677779e+04 -3.748134e+04 -6.843405e+04 -3.678034e+04 -1.888743e+00 -5.284478e+00 2.546646e+00
12             5.359355e+04 -6.666357e+04 4.170369e+03 5.359415e+04 -6.665890e+04 4.166002e+03 -5.984447e-01 -4.662638e+00 4.366822e+00
13             6.733994e+04 -4.627353e+04 2.181372e+04 6.733966e+04 -4.626802e+04 2.180806e+04 2.787380e-01 -5.512486e+00 5.654980e+00
14             4.576478e+04 -3.173439e+04 1.174276e+04 4.576429e+04 -3.172796e+04 1.173632e+04 4.922034e-01 -6.428583e+00 6.441952e+00
15             3.718208e+04 -2.930151e+04 -4.772867e+02 3.718309e+04 -2.929394e+04 -4.839754e+02 -1.011959e+00 -7.573587e+00 6.688746e+00
16             2.580437e+04 -2.881870e+04 -1.121757e+03 2.580767e+04 -2.881079e+04 -1.128962e+03 -3.304013e+00 -7.908187e+00 7.205074e+00
17             1.069391e+04 -2.568803e+04 2.690613e+03 1.069925e+04 -2.567874e+04 2.681924e+03 -5.338610e+00 -9.295287e+00 8.689212e+00
18             -1.772088e+03 -1.801529e+04 4.182731e+03 -1.766495e+03 -1.800498e+04 4.173011e+03 -5.592853e+00 -1.030890e+01 9.719440e+00
19             -3.997855e+03 -9.485189e+03 4.558262e+03 -3.992058e+03 -9.473828e+03 4.548221e+03 -5.796647e+00 -1.136065e+01 1.004089e+01
20             -3.986846e+02 -5.508005e+03 3.715721e+03 -3.931850e+02 -5.495150e+03 3.707244e+03 -5.499609e+00 -1.285520e+01 8.477207e+00
21             2.298604e+03 -5.034135e+03 2.582889e+03 2.303523e+03 -5.021974e+03 2.576602e+03 -4.918765e+00 -1.216108e+01 6.286947e+00
22             1.850702e+03 -5.710082e+03 1.597594e+03 1.855364e+03 -5.699575e+03 1.593162e+03 -4.661373e+00 -1.050664e+01 4.432335e+00
23             -1.651986e+02 -5.478620e+03 1.260834e+03 -1.604388e+02 -5.470276e+03 1.257221e+03 -4.759725e+00 -8.344419e+00 3.612989e+00
24             -1.646712e+03 -3.958445e+03 1.549401e+03 -1.642257e+03 -3.951695e+03 1.545946e+03 -4.454378e+00 -6.749893e+00 3.455027e+00
25             -1.811324e+03 -2.380837e+03 1.893033e+03 -1.807761e+03 -2.374246e+03 1.890250e+03 -3.562547e+00 -6.590843e+00 2.782947e+00
26             -1.323649e+03 -1.633862e+03 1.775484e+03 -1.320073e+03 -1.626483e+03 1.773714e+03 -3.576815e+00 -7.378815e+00 1.769353e+00
27             -7.793390e+02 -1.850638e+03 1.122869e+03 -7.755883e+02 -1.842622e+03 1.121110e+03 -3.750690e+00 -8.015310e+00 1.759087e+00
28             -4.200695e+02 -2.812227e+03 3.733889e+02 -4.160277e+02 -2.804655e+03 3.713339e+02 -4.041849e+00 -7.572071e+00 2.055066e+00
29             -4.512278e+02 -3.972197e+03 2.291925e+02 -4.472207e+02 -3.966057e+03 2.270585e+02 -4.007076e+00 -6.140010e+00 2.133953e+00
30             -8.352187e+02 -4.541068e+03 6.681024e+02 -8.310541e+02 -4.535461e+03 6.659279e+02 -4.164644e+00 -5.607170e+00 2.174463e+00
31             -1.244371e+03 -4.386234e+03 1.390649e+03 -1.240404e+03 -4.380289e+03 1.388150e+03 -3.967675e+00 -5.945650e+00 2.499672e+00
32             -1.512163e+03 -3.011553e+03 2.246662e+03 -1.508370e+03 -3.005165e+03 2.243217e+03 -3.792800e+00 -6.387883e+00 3.444869e+00
33             -1.515048e+03 -1.005135e+02 2.765949e+03 -1.511419e+03 -9.397993e+01 2.761843e+03 -3.629584e+00 -6.533529e+00 4.106406e+00
34             -1.380933e+03 2.051515e+03 2.628839e+03 -1.377717e+03 2.057318e+03 2.624308e+03 -3.215293e+00 -5.802693e+00 4.531318e+00
35             -1.221377e+03 2.636627e+03 2.185666e+03 -1.218529e+03 2.641036e+03 2.180458e+03 -2.847881e+00 -4.408542e+00 5.207962e+00
36             -1.059952e+03 2.125856e+03 1.713683e+03 -1.056936e+03 2.129021e+03 1.707597e+03 -3.015778e+00 -3.164596e+00 6.086426e+00
37             -8.833102e+02 6.611711e+02 1.324755e+03 -8.798577e+02 6.638844e+02 1.317660e+03 -3.452504e+00 -2.713323e+00 7.095533e+00
38             -6.895122e+02 -9.941351e+02 1.050684e+03 -6.856638e+02 -9.911438e+02 1.042687e+03 -3.848414e+00 -2.991243e+00 7.996420e+00
39             -5.261784e+02 -1.657024e+03 8.757121e+02 -5.221530e+02 -1.653579e+03 8.670651e+02 -4.025357e+00 -3.444143e+00 8.647066e+00
40             -4.009361e+02 -1.491299e+03 7.200052e+02 -3.969285e+02 -1.487486e+03 7.109717e+02 -4.007568e+00 -3.812793e+00 9.033470e+00
41             -2.827878e+02 -9.508928e+02 5.206737e+02 -2.788403e+02 -9.468639e+02 5.113718e+02 -3.947587e+00 -4.028904e+00 9.301926e+00
42             -1.751653e+02 -4.573832e+02 3.030647e+02 -1.712403e+02 -4.530957e+02 2.935612e+02 -3.924974e+00 -4.287462e+00 9.503469e+00
43             -1.517328e+02 -4.735554e+02 2.186066e+02 -1.477935e+02 -4.687910e+02 2.089299e+02 -3.939339e+00 -4.764422e+00 9.676711e+00
44             -1.817759e+02 -8.772572e+02 2.377771e+02 -1.778413e+02 -8.719149e+02 2.280065e+02 -3.934579e+00 -5.342242e+00 9.770577e+00
45             -2.061793e+02 -1.299227e+03 2.575933e+02 -2.023145e+02 -1.293451e+03 2.478662e+02 -3.864753e+00 -5.775258e+00 9.727116e+00
46             -2.160958e+02 -1.539140e+03 2.570394e+02 -2.123766e+02 -1.533236e+03 2.475407e+02 -3.719201e+00 -5.903598e+00 9.498724e+00
47             -2.055736e+02 -1.499104e+03 2.330357e+02 -2.020411e+02 -1.493241e+03 2.238822e+02 -3.532441e+00 -5.862562e+00 9.153454e+00
48             -1.777364e+02 -1.234652e+03 2.001417e+02 -1.744082e+02 -1.228762e+03 1.913936e+02 -3.328255e+00 -5.890402e+00 8.748065e+00
49             -1.387643e+02 -8.794362e+02 1.644922e+02 -1.356567e+02 -8.733598e+02 1.562182e+02 -3.107522e+00 -6.076359e+00 8.273994e+00
50             -9.037976e+01 -5.254845e+02 1.133864e+02 -8.752253e+01 -5.192287e+02 1.056447e+02 -2.857222e+00 -6.255789e+00 7.741707e+00
51             -5.711834e+01 -3.672692e+02 6.536936e+01 -5.452852e+01 -3.610427e+02 5.820446e+01 -2.589816e+00 -6.226566e+00 7.164905e+00
52             -3.822226e+01 -3.802256e+02 2.010703e+01 -3.588373e+01 -3.742434e+02 1.350996e+01 -2.338535e+00 -5.982176e+00 6.597065e+00
53             -1.815371e+01 -4.052963e+02 -3.001927e+01 -1.604124e+01 -3.996159e+02 -3.606594e+01 -2.112463e+00 -5.680363e+00 6.046673e+00
54             8.268499e+00 -3.747160e+02 -8.163951e+01 1.016753e+01 -3.692550e+02 -8.713747e+01 -1.899026e+00 -5.460969e+00 5.497956e+00
55             3.694116e+01 -2.776576e+02 -1.219017e+02 3.862892e+01 -2.723063e+02 -1.268543e+02 -1.687755e+00 -5.351320e+00 4.952656e+00
56             6.256863e+01 -1.236017e+02 -1.445803e+02 6.404552e+01 -1.183246e+02 -1.489963e+02 -1.476897e+00 -5.277092e+00 4.416069e+00
57             7.429300e+01 5.990121e+01 -1.387237e+02 7.556746e+01 6.504583e+01 -1.426268e+02 -1.274462e+00 -5.144622e+00 3.903140e+00
58             6.085026e+01 1.508833e+02 -1.006527e+02 6.194507e+01 1.558128e+02 -1.040910e+02 -1.094806e+00 -4.929574e+00 3.438270e+00
59             4.334110e+01 1.497763e+02 -6.929338e+01 4.429015e+01 1.544557e+02 -7.233453e+01 -9.490530e-01 -4.679353e+00 3.041153e+00
60             2.886029e+01 1.290295e+02 -4.501109e+01 2.969689e+01 1.334802e+02 -4.772335e+01 -8.366014e-01 -4.450718e+00 2.712256e+00
61             1.356524e+01 1.095537e+02 -1.427583e+01 1.431777e+01 1.138268e+02 -1.672066e+01 -7.525296e-01 -4.273144e+00 2.444827e+00
62             -5.863964e+00 9.770272e+01 3.106763e+01 -5.167832e+00 1.018467e+02 2.883015e+01 -6.961319e-01 -4.143969e+00 2.237480e+00
63             -3.281956e+01 9.339821e+01 9.594540e+01 -3.215223e+01 9.744091e+01 9.385853e+01 -6.673341e-01 -4.042697e+00 2.086868e+00
64             -6.413639e+01 9.016826e+01 1.709736e+02 -6.347395e+01 9.412151e+01 1.689905e+02 -6.624380e-01 -3.953247e+00 1.983146e+00
65             -7.689294e+01 7.185996e+01 2.044253e+02 -7.622298e+01 7.573079e+01 2.025205e+02 -6.699581e-01 -3.870833e+00 1.904872e+00
66             -7.122911e+01 4.639162e+01 1.959482e+02 -7.055428e+01 5.019439e+01 1.941227e+02 -6.748260e-01 -3.802778e+00 1.825504e+00
67             -5.710396e+01 1.720745e+01 1.703270e+02 -5.643275e+01 2.096193e+01 1.685904e+02 -6.712102e-01 -3.754475e+00 1.736596e+00
68             -3.490898e+01 -1.404089e+01 1.297418e+02 -3.424857e+01 -1.031498e+01 1.280999e+02 -6.604064e-01 -3.725912e+00 1.641870e+00
69             -6.783917e+00 -3.461886e+01 7.708686e+01 -6.138739e+00 -3.090703e+01 7.554200e+01 -6.451775e-01 -3.711833e+00 1.544857e+00
70             2.518377e+01 -3.018680e+01 1.413010e+01 2.580924e+01 -2.648542e+01 1.268713e+01 -6.254688e-01 -3.701376e+00 1.442974e+00
71             6.268240e+01 9.507966e+00 -6.436535e+01 6.328024e+01 1.319022e+01 -6.569314e+01 -5.978387e-01 -3.682253e+00 1.327787e+00
72             1.018264e+02 7.971851e+01 -1.505686e+02 1.023843e+02 8.336139e+01 -1.517585e+02 -5.579309e-01 -3.642883e+00 1.189867e+00
73             1.279309e+02 1.376431e+02 -2.115551e+02 1.284383e+02 1.412238e+02 -2.125878e+02 -5.073574e-01 -3.580735e+00 1.032752e+00
74             1.427500e+02 1.688690e+02 -2.484719e+02 1.432031e+02 1.723728e+02 -2.493431e+02 -4.531233e-01 -3.503880e+00 8.711718e-01
75             1.546761e+02 1.942907e+02 -2.792932e+02 1.550762e+02 1.977051e+02 -2.800082e+02 -4.000991e-01 -3.414402e+00 7.150139e-01
76             1.626485e+02 2.249559e+02 -3.024157e+02 1.629991e+02 2.282611e+02 -3.029845e+02 -3.505980e-01 -3.305202e+00 5.687987e-01
